Color Display Locator,Color Number,Color Name,CBG Legacy Color Name,Color Name (Canada - English),Color Name (Canada - French),Color Collection,CBG NA Color Family Name,LRV Notation Number,RGB-1 Red Color Value,RGB-2 Green Color Value,RGB-3 Blue Color Value,Hex Value,Color Sample sRGB,CMYK-1 Cyan Color Value,CMYK-2 Magenta Color Value,CMYK-3 Yellow Color Value,CMYK-4 Black Color Value,Freezer name,Channel,Color Description
NV320C,8003-20C,Turbo Tan,,Turbo Tan,Teint turbo,,Yellows,56,219,194,160,DBC2A0,,0,11,27,14,FNVL3026_3,Lowe's,
NV320D,8003-20D,Jacob's Ladder,,Jacob's Ladder,Échelle de Jacob,,Yellows,51,218,184,141,DAB88D,,0,16,35,15,FPL10_27,Lowe's,
NV320E,8003-20E,Warm Nutmeg,,Warm Nutmeg,Muscade chaude,,Yellows,37,194,157,116,C29D74,,0,19,40,24,FNVL3026_5,Lowe's,
NV320F,8003-20F,Teak,,Teak,Teck,,Yellows,22,162,122,72,A27A48,,0,25,56,36,FNVL3026_6,Lowe's,
NV320G,8003-20G,Coconut Husk,,Coconut Husk,Coquille de noix de coco,,Yellows,12,129,91,40,815B28,,0,29,69,49,FNVL3026_7,Lowe's,
NV321A,8003-21A,Cremini Mushroom,,Cremini Mushroom,Champignon cremini,,Yellows,80,243,230,208,F3E6D0,,0,5,14,5,FNVL3027_1,Lowe's,
NV321B,8003-21B,Gentle Fawn,,Gentle Fawn,Faune paisible,,Yellows,66,233,209,176,E9D1B0,,0,10,24,9,FNVL3027_2,Lowe's,
NV321C,8003-21C,More Cowbell,,More Cowbell,Plus de sonnaille,,Yellows,56,223,193,154,DFC19A,,0,13,31,13,FNVL3027_3,Lowe's,
NV321D,8003-21D,Castell Harlech,,Castell Harlech,Château de Harlech,,Yellows,43,204,169,124,CCA97C,,0,17,39,20,FNVL3027_4,Lowe's,
NV321E,8003-21E,Sand Mountain,,Sand Mountain,Dune de sable,,Yellows,29,181,141,83,B58D53,,0,22,54,29,FNVL3027_5,Lowe's,
NV321F,8003-21F,El Dorado,,El Dorado,Eldorado,,Yellows,22,165,122,59,A57A3B,,0,26,64,35,FNVL3027_6,Lowe's,
NV321G,8003-21G,Retrofit,,Retrofit,Mise à jour,,Yellows,16,143,103,47,8F672F,,0,28,67,44,FNVL3027_7,Lowe's,
NV322A,8003-22A,Honey Moon,,Honey Moon,Lune de miel,,Yellows,78,239,227,209,EFE3D1,,0,5,13,6,FNVL3028_1,Lowe's,
NV322B,8003-22B,Peasant Bread,,Peasant Bread,Pain paysan,,Yellows,64,225,206,179,E1CEB3,,0,8,20,12,FNVL3028_2,Lowe's,
NV322C,3005-10A,Sandy Cove,,Sandy Cove,Sandy Cove,,Yellows,53,213,189,153,D5BD99,,0,11,28,16,FVUP3005-10A,Lowe's,
NV322D,3005-9C,Caraway Seed,,Caraway Seed,Graine de carvi,,Yellows,37,189,160,118,BDA076,,0,15,38,26,FVUP3005-9C,Lowe's,
NV322E,3006-7B,Caramel Gold,,Caramel Gold,Or caramel,,Yellows,30,177,143,98,B18F62,,0,19,45,31,FVUP3006-7B,Lowe's,
NV322F,3005-9A,Magic Lamp,,Magic Lamp,Lampe magique,,Yellows,18,146,113,68,927144,,0,23,53,43,FVUP3005-9A,Lowe's,
NV322G,8003-22G,Wagon Train,,Wagon Train,Wagon de train,,Yellows,8,101,74,36,654A24,,0,27,64,60,FNVL3028_7,Lowe's,
NV323A,3006-8C,Ivory Essence,,Ivory Essence,Essence d'ivoire,,Yellows,76,236,225,203,ECE1CB,,0,5,14,7,FVUP3006-8C,Lowe's,
NV323B,8003-23B,Consommé,,Consommé,Consommé,,Yellows,65,229,209,176,E5D1B0,,0,9,23,10,FNVL3029_2,Lowe's,
NV323C,3007-8B,Baked Scone,,Baked Scone,Scone cuit,,Yellows,58,223,198,156,DFC69C,,0,11,30,13,FVUP3007-8B,Lowe's,
NV323D,3007-8A,Tweed Jacket,,Tweed Jacket,Veste de tweed,,Yellows,43,199,171,123,C7AB7B,,0,14,38,22,FVUP3007-8A,Lowe's,
NV323E,8003-23E,Family Tree,,Family Tree,Arbre généalogique,,Yellows,32,180,148,93,B4945D,,0,18,48,29,FNVL3029_5,Lowe's,
NV323F,8003-23F,Organic Style,,Organic Style,Style naturel,,Yellows,20,151,118,56,977638,,0,22,63,41,FNVL3029_6,Lowe's,
NV323G,8003-23G,Hunting Jacket,,Hunting Jacket,Manteau de chasse,,Yellows,14,129,99,40,816328,,0,23,69,49,FNVL3029_7,Lowe's,
NV324A,3006-10C,Shania's Lace,,Shania's Lace,Dentelle de Shania,,Greens,79,236,229,214,ECE5D6,,0,3,9,7,FVUP3006-10C,Lowe's,
NV324B,8003-24B,Meadow Dew,,Meadow Dew,Rosée de la vallée,,Greens,68,229,214,181,E5D6B5,,0,7,21,10,FNVL3031_2,Lowe's,
NV324C,3008-8B,Ancient Scroll,,Ancient Scroll,Parchemin antique,,Greens,60,220,202,162,DCCAA2,,0,8,26,14,FVUP3008-8B,Lowe's,
NV324D,3008-8A,Dry Leaf,,Dry Leaf,Feuille sèche,,Greens,51,207,188,139,CFBC8B,,0,9,33,19,FVUP3008-8A,Lowe's,
NV324E,3008-7C,Desert Grass,,Desert Grass,Herbe du désert,,Greens,40,189,169,117,BDA975,,0,11,38,26,FVUP3008-7C,Lowe's,
NV324F,3008-7B,Swampwater,,Swampwater,Marais,,Greens,35,180,157,95,B49D5F,,0,13,47,29,FVUP3008-7B,Lowe's,
NV324G,8003-24G,Marsh Grass,,Marsh Grass,Foin des marais,,Greens,21,149,124,55,957C37,,0,17,63,42,FNVL3031_7,Lowe's,
NV325A,8003-25A,Grow,,Grow,Croissance,,Greens,82,241,232,215,F1E8D7,,0,4,11,5,FNVL3032_1,Lowe's,
NV325B,6007-3B,Fennel Splash,,Fennel Splash,Touche de fenouil,,Greens,67,225,213,184,E1D5B8,,0,5,18,12,FVUP6007-3B,Lowe's,
NV325C,6007-3C,Withered Moss,,Withered Moss,Mousse fanée,,Greens,45,193,178,139,C1B28B,,0,8,28,24,FVUP6007-3C,Lowe's,
NV325D,6007-4A,Gold Infusion,,Gold Infusion,Infusion d'or,,Greens,32,167,152,107,A7986B,,0,9,36,35,FVUP6007-4A,Lowe's,
NV325E,6007-4B,Rolling Prairie,,Rolling Prairie,Rolling Prairie,,Greens,25,152,137,93,98895D,,0,10,39,40,FVUP6007-4B,Lowe's,
NV325F,6007-4C,Mountain Olive,,Mountain Olive,Olive de montagne,,Greens,21,138,124,82,8A7C52,,0,10,41,46,FVUP6007-4C,Lowe's,
NV325G,8003-25G,Garden Glory,,Garden Glory,Gloire jardinière,,Greens,12,112,96,47,70602F,,0,14,58,56,FNVL3032_7,Lowe's,
NV326A,8003-26A,Swan Dance,,Swan Dance,Danse des cygnes,,Greens,79,235,230,204,EBE6CC,,0,2,13,8,FNVL3034_1,Lowe's,
NV326B,6006-5A,Tempered Sage,,Tempered Sage,Sauge doux,,Greens,70,227,217,183,E3D9B7,,0,4,19,11,FVUP6006-5A,Lowe's,
NV326C,6006-5B,Parlour Sage,,Parlour Sage,Sauge salon,,Greens,53,202,193,154,CAC19A,,0,4,24,21,FVUP6006-5B,Lowe's,
NV326D,6006-6A,Throw Rug,,Throw Rug,Carpette,,Greens,33,167,157,106,A79D6A,,0,6,37,35,FVUP6006-6A,Lowe's,
NV326E,6006-6B,Olive Rush,,Olive Rush,Ruée olive,,Greens,30,161,148,100,A19464,,0,8,38,37,FVUP6006-6B,Lowe's,
NV326F,8003-26F,Greek Oregano,,Greek Oregano,Origan grec,,Greens,19,128,120,84,807854,,0,6,34,50,FNVL3034_6,Lowe's,
NV326G,6006-4C,City Arboretum,,City Arboretum,Arboretum de la ville,,Greens,11,101,95,69,655F45,,0,6,32,60,FVUP6006-4C,Lowe's,
NV327A,8003-27A,Dream Grass,,Dream Grass,Herbe onirique,,Greens,74,228,224,203,E4E0CB,,0,2,11,11,FNVL3036_1,Lowe's,
NV327B,8003-27B,Platinum Sage,,Platinum Sage,Sauge platine,,Greens,61,211,206,179,D3CEB3,,0,2,15,17,FNVL3036_2,Lowe's,
NV327C,8003-27C,Good to Grow,,Good to Grow,Prêt à croître,,Greens,50,196,188,160,C4BCA0,,0,4,18,23,FNVL3036_3,Lowe's,
NV327D,8003-27D,Sweet Pea in a Pod,,Sweet Pea in a Pod,Paire de pois de senteur,,Greens,34,166,158,126,A69E7E,,0,5,24,35,FNVL3036_4,Lowe's,
NV327E,8003-27E,Autumn Grove,,Autumn Grove,Bosquet automnal,,Greens,19,130,122,83,827A53,,0,6,36,49,FNVL3036_5,Lowe's,
NV327F,8003-27F,Vineyard View,,Vineyard View,Vue du vignoble,,Greens,14,113,106,66,716A42,,0,6,42,56,FNVL3036_6,Lowe's,
NV327G,8003-27G,Sea Turtle,,Sea Turtle,Tortue de mer,,Greens,10,93,89,52,5D5934,,0,4,44,64,FNVL3036_7,Lowe's,
NV328A,8003-28A,Crème de Menthe,,Crème de Menthe,Crème de menthe,,Greens,83,238,236,217,EEECD9,,0,1,9,7,FNVL3037_1,Lowe's,
NV328B,8003-28B,New Growth,,New Growth,Nouvelle croissance,,Greens,72,226,222,197,E2DEC5,,0,2,13,11,FNVL3037_2,Lowe's,
NV328C,8003-28C,Archisa,,Archisa,Archisa,,Greens,58,207,202,167,CFCAA7,,0,2,19,19,FNVL3037_3,Lowe's,
NV328D,8003-28D,Fields Afar,,Fields Afar,Champs lointains,,Greens,47,190,184,143,BEB88F,,0,3,25,25,FNVL3037_4,Lowe's,
NV328E,8003-28E,Prairie Sage,,Prairie Sage,Sauge de prairie,,Greens,29,156,149,95,9C955F,,0,4,39,39,FNVL3037_5,Lowe's,
NV328F,8003-28F,Dried Bay Leaf,,Dried Bay Leaf,Feuille de laurier séchée,,Greens,20,130,126,73,827E49,,0,3,44,49,FNVL3037_6,Lowe's,
NV328G,8003-28G,Olive Drab,,Olive Drab,Gris olivâtre,,Greens,15,112,109,55,706D37,,0,3,51,56,FNVL3037_7,Lowe's,
NV329A,6002-3A,Panacea,,Panacea,Panacée,,Greens,71,223,221,195,DFDDC3,,0,1,13,13,FVUP6002-3A,Lowe's,
NV329B,6002-3B,Paris Mint,,Paris Mint,Menthe parisienne,,Greens,58,206,202,164,CECAA4,,0,2,20,19,FVUP6002-3B,Lowe's,
NV329C,6002-3C,Sumptuous Sage,,Sumptuous Sage,Sauge somptueuse,,Greens,47,185,184,145,B9B891,,0,1,22,27,FVUP6002-3C,Lowe's,
NV329D,6002-4A,Brisk Olive,,Brisk Olive,Olive vivifiant,,Greens,34,162,159,115,A29F73,,0,2,29,36,FVUP6002-4A,Lowe's,
NV329E,6002-4B,Garden of Paradise,,Garden of Paradise,Jardin du paradis,,Greens,26,144,142,98,908E62,,0,1,32,44,FVUP6002-4B,Lowe's,
NV329F,6002-4C,Candied Lime,,Candied Lime,Lime confite,,Greens,18,122,119,76,7A774C,,0,2,38,52,FVUP6002-4C,Lowe's,
NV329G,8003-29G,Herb Garland,,Herb Garland,Guirlande d’herbes,,Greens,11,95,95,70,5F5F46,,0,0,26,63,FPL15_17,Lowe's,
NV330A,6001-3A,Ancient Olive,,Ancient Olive,Olive ancienne,,Greens,71,222,220,201,DEDCC9,,0,1,9,13,FVUP6001-3A,Lowe's,
NV330B,6001-3B,Mint Frost,,Mint Frost,Menthe givrée,,Greens,57,201,200,177,C9C8B1,,0,0,12,21,FVUP6001-3B,Lowe's,
NV330C,8003-30C,Sweet Clover,,Sweet Clover,Mélilot,,Greens,49,187,188,164,BBBCA4,,1,0,13,26,FNVL3039_3,Lowe's,
NV330D,8003-30D,Cool Pine,,Cool Pine,Fraîcheur des pins,,Greens,40,169,171,148,A9AB94,,1,0,13,33,FNVL3039_4,Lowe's,
NV330E,6001-4A,Blanched Thyme,,Blanched Thyme,Thym blanchi,,Greens,27,143,144,115,8F9073,,1,0,20,44,FVUP6001-4A,Lowe's,
NV330F,6001-4B,Native Henna,,Native Henna,Henné natif,,Greens,21,128,128,99,808063,,0,0,23,50,FVUP6001-4B,Lowe's,
NV330G,6001-4C,Tarragon,,Tarragon,Estragon,,Greens,12,99,99,71,636347,,0,0,28,61,FVUP6001-4C,Lowe's,
NV331A,5008-3A,Pale Oak Grove,,Pale Oak Grove,Bosquet de chênes pâle,,Greens,75,223,226,210,DFE2D2,,1,0,7,11,FVUP5008-3A,Lowe's,
NV331B,8003-31B,Solstice Breeze,,Solstice Breeze,Brise du solstice,,Greens,67,211,216,196,D3D8C4,,2,0,9,15,FNC320B,Lowe's,
NV331C,8003-31C,Apple Blossom Green,,Apple Blossom Green,Vert fleur du pommier,,Greens,60,202,207,178,CACFB2,,2,0,14,19,FMG024_B_13,Lowe's,
NV331D,5007-3C,Green Garlands,,Green Garlands,Guirlandes vertes,,Greens,40,164,174,143,A4AE8F,,6,0,18,32,FVUP5007-3C,Lowe's,
NV331E,5007-4A,Leafy Rise,,Leafy Rise,Montée feuillue,,Greens,28,139,148,118,8B9476,,6,0,20,42,FVUP5007-4A,Lowe's,
NV331F,5007-4B,Northern Glen,,Northern Glen,Vallée nordique,,Greens,21,120,131,102,788366,,8,0,22,49,FVUP5007-4B,Lowe's,
NV331G,5007-4C,Boughs of Pine,,Boughs of Pine,Branches de pin,,Greens,10,86,94,67,565E43,,9,0,29,63,FVUP5007-4C,Lowe's,
NV332A,5007-3A,Glowing Green,,Glowing Green,Vert éclatant,,Greens,71,217,220,204,D9DCCC,,1,0,7,14,FVUP5007-3A,Lowe's,
NV332B,5007-3B,Mellow Spring,,Mellow Spring,Printemps doux,,Greens,62,201,209,192,C9D1C0,,4,0,8,18,FVUP5007-3B,Lowe's,
NV332C,5006-3B,Wedding Mint,,Wedding Mint,Menthe de mariage,,Greens,54,188,197,177,BCC5B1,,5,0,10,23,FVUP5006-3B,Lowe's,
NV332D,5006-3C,Green Trellis,,Green Trellis,Treillis vert,,Greens,43,167,180,159,A7B49F,,7,0,12,29,FVUP5006-3C,Lowe's,
NV332E,5006-4A,Irish Paddock,,Irish Paddock,Paddock irlandais,,Greens,32,146,157,134,929D86,,7,0,15,38,FVUP5006-4A,Lowe's,
NV332F,5006-4B,Ginkgo Tree,,Ginkgo Tree,Ginkgo,,Greens,22,122,133,111,7A856F,,8,0,17,48,FVUP5006-4B,Lowe's,
NV332G,5006-4C,Treeline,,Treeline,Limite des arbres,,Greens,9,75,88,71,4B5847,,15,0,19,65,FVUP5006-4C,Lowe's,
NV333A,8003-33A,Apothecary Jar,,Apothecary Jar,Pot d’apothicaire,,Greens,71,210,222,208,D2DED0,,5,0,6,13,FNVL3043A_1,Lowe's,
NV333B,8003-33B,Budding Green,,Budding Green,Vert naissant,,Greens,63,199,211,194,C7D3C2,,6,0,8,17,FNVL3043A_2,Lowe's,
NV333C,8003-33C,Salon Green,,Salon Green,Vert salon,,Greens,47,167,188,166,A7BCA6,,11,0,12,26,FNVL3043A_3,Lowe's,
NV333D,5006-5C,Spearmint Haze,,Spearmint Haze,Brume à la menthe verte,,Greens,43,153,182,162,99B6A2,,16,0,11,29,FVUP5006-5C,Lowe's,
NV333E,5005-6A,Cool Bluegrass,,Cool Bluegrass,Pâturin frais,,Greens,23,103,140,119,678C77,,26,0,15,45,FVUP5005-6A,Lowe's,
NV333F,5005-6C,Billiard Room,,Billiard Room,Salle de billard,,Greens,9,68,92,76,445C4C,,26,0,17,64,FVUP5005-6C,Lowe's,
NV333G,6009-5,Wilderness,,Wilderness,Contrée sauvage,,Greens,8,54,85,66,365542,,36,0,22,67,FVUP6009-5,Lowe's,
NV334A,7005-4,Acropolis,,Acropolis,Acropole,,Greens,82,229,235,224,E5EBE0,,3,0,5,8,FVUP7005-4,Lowe's,
NV334B,8003-34B,Opal Fire,,Opal Fire,Feu opale,,Greens,65,204,214,205,CCD6CD,,5,0,4,16,FNVL3044_2,Lowe's,
NV334C,8003-34C,Ocean Froth,,Ocean Froth,Écume de l’océan,,Greens,59,193,204,195,C1CCC3,,5,0,4,20,FNVL3044_3,Lowe's,
NV334D,8003-34D,Bog Fog,,Bog Fog,Brouillard marécageux,,Greens,48,177,188,177,B1BCB1,,6,0,6,26,FNVL3044_4,Lowe's,
NV334E,8003-34E,Blue Fescue,,Blue Fescue,Fétuque bleue,,Greens,38,159,170,158,9FAA9E,,6,0,7,33,FNVL3044_5,Lowe's,
NV334F,8003-34F,Salty Sea,,Salty Sea,Mer salée,,Greens,21,116,131,119,748377,,11,0,9,49,FNVL3044_6,Lowe's,
NV334G,8003-34G,Sherwood Forest,,Sherwood Forest,Forêt de Sherwood,,Greens,10,79,91,81,4F5B51,,13,0,11,64,FNVL3044_7,Lowe's,
NV335A,5006-5A,Minty Delight,,Minty Delight,Délice à la menthe,,Greens,78,219,232,221,DBE8DD,,6,0,5,9,FVUP5006-5A,Lowe's,
NV335B,5006-5B,Aloe Vera,,Aloe Vera,Aloès,,Greens,64,196,213,200,C4D5C8,,8,0,6,16,FVUP5006-5B,Lowe's,
NV335C,5004-5B,Tranquil Bay,,Tranquil Bay,Tranquil Bay,,Greens,50,170,194,178,AAC2B2,,12,0,8,24,FVUP5004-5B,Lowe's,
NV335D,8003-35D,Phoenix Tears,,Phoenix Tears,Larmes de phénix,,Greens,36,141,168,152,8DA898,,16,0,10,34,FPL22_22,Lowe's,
NV335E,5005-6B,Hanging Vine,,Hanging Vine,Vigne suspendue,,Greens,19,99,127,111,637F6F,,22,0,13,50,FVUP5005-6B,Lowe's,
NV335F,8003-35F,Mallard,,Mallard,Colvert,,Greens,13,79,109,95,4F6D5F,,28,0,13,57,FNVL3045_6,Lowe's,
NV335G,5004-4C,Canadian Fir,,Canadian Fir,Sapin canadien,,Greens,9,65,90,81,415A51,,28,0,10,65,FVUP5004-4C,Lowe's,
NV336A,8003-36A,Wintergreen,,Wintergreen,Gaulthérie,,Greens,73,214,225,212,D6E1D4,,5,0,6,12,FNVL3046_1,Lowe's,
NV336B,8003-36B,Juniper Mist,,Juniper Mist,Vapeur de genévrier,,Greens,64,199,213,201,C7D5C9,,7,0,6,16,FNVL3046_2,Lowe's,
NV336C,5003-3C,April Thicket,,April Thicket,Fourré d'avril,,Greens,47,168,186,175,A8BAAF,,10,0,6,27,FVUP5003-3C,Lowe's,
NV336D,5003-4A,Green Water,,Green Water,Eau verte,,Greens,32,138,159,149,8A9F95,,13,0,6,38,FVUP5003-4A,Lowe's,
NV336E,5004-4B,Blueridge Fir,,Blueridge Fir,Sapin Blueridge,,Greens,21,111,132,122,6F847A,,16,0,8,48,FVUP5004-4B,Lowe's,
NV336F,8003-36F,Jade Sea,,Jade Sea,Mer de Jade,,Greens,9,72,90,80,485A50,,20,0,11,65,FNVL3046_6,Lowe's,
NV336G,5010-4,Peacock House,,Peacock House,Maison du Paon,,Greens,6,44,72,65,2C4841,,39,0,10,72,FVUP5010-4,Lowe's,
NV337A,5004-3A,Pirate Coast,,Pirate Coast,Côte des Pirates,,Teals,78,221,231,225,DDE7E1,,4,0,3,9,FVUP5004-3A,Lowe's,
NV337B,5002-3A,Distant Valley,,Distant Valley,Vallée lointaine,,Teals,64,199,214,205,C7D6CD,,7,0,4,16,FVUP5002-3A,Lowe's,
NV337C,5002-3B,Sparkling Lake,,Sparkling Lake,Lac étincelant,,Teals,57,184,203,196,B8CBC4,,9,0,3,20,FVUP5002-3B,Lowe's,
NV337D,8003-37D,Renew Blue,,Renew Blue,Bleu renouveau,,Teals,43,153,182,179,99B6B3,,16,0,2,29,FNVL3047_4,Lowe's,
NV337E,5002-4A,Secluded Garden,,Secluded Garden,Jardin isolé,,Teals,28,120,150,146,789692,,20,0,3,41,FVUP5002-4A,Lowe's,
NV337F,5003-6C,Shady Palm,,Shady Palm,Palmier ombragé,,Teals,13,69,107,101,456B65,,36,0,6,58,FVUP5003-6C,Lowe's,
NV337G,8003-37G,Midsummer Night,,Midsummer Night,Nuit d'été,,Teals,5,30,69,64,1E4540,,57,0,7,73,FNVL3047_7,Lowe's,
NV338A,8003-38A,Blue Bottle,,Blue Bottle,Bouteille bleue,,Blues,78,219,231,230,DBE7E6,,5,0,0,9,FNVL3048_1,Lowe's,
NV338B,5003-5A,Aquatic Edge,,Aquatic Edge,Touche aquatique,,Blues,65,194,215,211,C2D7D3,,10,0,2,16,FVUP5003-5A,Lowe's,
NV338C,8003-38C,Wild Life,,Wild Life,Faune,,Blues,54,174,199,198,AEC7C6,,13,0,1,22,FNVL3048_3,Lowe's,
NV338D,8003-38D,Fog Blue,V102-4 Gypsy Blue,Fog Blue,Bleu brouillard,,Teals,39,142,173,172,8EADAC,,18,0,1,32,FNVL3048_4,Lowe's,
NV338E,5002-4B,Villa Blue,,Villa Blue,Villa bleue,,Teals,24,109,140,139,6D8C8B,,22,0,1,45,FVUP5002-4B,Lowe's,
NV338F,8003-38F,Grand Prix,,Grand Prix,Grand Prix,,Teals,11,71,100,98,476462,,29,0,2,61,FNVL3048_6,Lowe's,
NV338G,5010-3,Deep River Green,,Deep River Green,Vert rivière foncé,,Teals,4,43,63,64,2B3F40,,33,2,0,75,FVUP5010-3,Lowe's,
NV339A,8003-39A,Blown Glass,,Blown Glass,Verre soufflé,,Blues,76,214,229,232,D6E5E8,,8,1,0,9,FNVL3050_1,Lowe's,
NV339B,8003-39B,Artiste,,Artiste,Artiste,,Blues,60,189,208,208,BDD0D0,,9,0,0,18,FNVL3050_2,Lowe's,
NV339C,8003-39C,Sea Star,,Sea Star,Étoile de mer,,Blues,49,165,191,194,A5BFC2,,15,2,0,24,FNVL3050_3,Lowe's,
NV339D,8003-39D,Windswept Clouds,,Windswept Clouds,Nuages portés par le vent,,Teals,41,149,176,181,95B0B5,,18,3,0,29,FNVL3050_4,Lowe's,
NV339E,8003-39E,Laid-Back Blue,,Laid-Back Blue,Bleu détente,,Teals,28,120,150,154,78969A,,22,3,0,40,FNVL3050_5,Lowe's,
NV339F,8003-39F,Low Tide,,Low Tide,Marée basse,,Teals,13,73,108,115,496C73,,37,6,0,55,FNVL3050_6,Lowe's,
NV339G,8003-39G,Long Water,,Long Water,Lac londonien,,Teals,8,60,83,85,3C5355,,29,2,0,67,FNVL3050_7,Lowe's,
NV340A,5001-5A,Lament Blue,,Lament Blue,Bleu complainte,,Blues,67,199,218,221,C7DADD,,10,1,0,13,FVUP5001-5A,Lowe's,
NV340B,5001-5B,High Noon,,High Noon,Ciel du midi,,Blues,50,160,194,201,A0C2C9,,20,3,0,21,FVUP5001-5B,Lowe's,
NV340C,5001-5C,Lucy Blue,,Lucy Blue,Bleu Lucy,,Blues,36,129,169,178,81A9B2,,28,5,0,30,FVUP5001-5C,Lowe's,
NV340D,5001-6A,Flood Tide,,Flood Tide,Déluge,,Blues,25,97,143,153,618F99,,37,7,0,40,FVUP5001-6A,Lowe's,
NV340E,5001-6B,Sky Space,,Sky Space,Espace céleste,,Teals,17,73,122,132,497A84,,45,8,0,48,FVUP5001-6B,Lowe's,
NV340F,5001-6C,Perfect Storm,,Perfect Storm,Tempête parfaite,,Teals,10,57,92,101,395C65,,44,9,0,60,FVUP5001-6C,Lowe's,
NV340G,5011-3,Everglade Deck,,Everglade Deck,Pont Everglade,,Teals,5,35,66,74,23424A,,53,11,0,71,FVUP5011-3,Lowe's,
NV341A,8003-41A,Bahama Breezes,,Bahama Breezes,Brise des Bahamas,,Blues,64,192,214,222,C0D6DE,,14,4,0,13,FNVL3053_1,Lowe's,
NV341B,8003-41B,Summer Rain,,Summer Rain,Pluie d’été,,Blues,55,170,200,213,AAC8D5,,20,6,0,16,FNVL3053_2,Lowe's,
NV341C,8003-41C,Arctic Sunrise,,Arctic Sunrise,Lever de soleil arctique,,Blues,45,148,184,199,94B8C7,,26,8,0,22,FNVL3053_3,Lowe's,
NV341D,8003-41D,Winter Twilight,,Winter Twilight,Crépuscule d'hiver,,Blues,32,115,159,177,739FB1,,35,10,0,31,FNVL3053_4,Lowe's,
NV341E,8003-41E,Peacock Blues,,Peacock Blues,Bleu paon,,Blues,17,73,122,141,497A8D,,48,13,0,45,FNVL3053_5,Lowe's,
NV341F,8003-41F,Dragon's Lair,,Dragon's Lair,Antre du dragon,,Blues,10,49,96,115,316073,,57,17,0,55,FNVL3053_6,Lowe's,
NV341G,8003-41G,Deep Galaxy,,Deep Galaxy,Loin dans la galaxie,,Blues,6,43,74,86,2B4A56,,50,14,0,66,FNVL3053_7,Lowe's,
NV342A,4007-5A,Ice Rink Blue,,Ice Rink Blue,Refroidissement éolien,,Blues,75,215,226,228,D7E2E4,,6,1,0,11,FVUP4007-5A,Lowe's,
NV342B,8003-42B,Windchill,,Windchill,Refroidissement éolien,,Blues,68,201,217,224,C9D9E0,,10,3,0,12,FSW9144,Lowe's,
NV342C,8003-42C,Crisp Collar,4007-5B Schoolboy Blue,Crisp Collar,Col repassé,,Blues,59,183,206,214,B7CED6,,14,4,0,16,FVUP4007-5B,Lowe's,
NV342D,4007-5C,Memorybook Blue,,Memorybook Blue,Bleu album photo,,Blues,47,157,188,201,9DBCC9,,22,6,0,21,FVUP4007-5C,Lowe's,
NV342E,4007-6A,Nostalgia,,Nostalgia,Cours du temps,,Blues,31,122,156,171,7A9CAB,,29,9,0,33,FVUP4007-6A,Lowe's,
NV342F,4007-6B,Bountiful Blue,,Bountiful Blue,Pluie paisible,,Blues,17,81,118,137,517689,,41,14,0,46,FVUP4007-6B,Lowe's,
NV342G,4007-6C,Deep Twilight Blue,,Deep Twilight Blue,Pénélope,,Blues,9,52,87,106,34576A,,51,18,0,58,FVUP4007-6C,Lowe's,
NV343A,8003-43A,Bare Minimum,,Bare Minimum,Coup de pinceau,,Blues,77,217,230,233,D9E6E9,,7,1,0,9,FNVL3055_1,Lowe's,
NV343B,4008-5A,Pale Flowers,,Pale Flowers,Larmes torrentielles,,Blues,64,190,213,222,BED5DE,,14,4,0,13,FVUP4008-5A,Lowe's,
NV343C,4008-5B,Northern Sky Blue,,Northern Sky Blue,Rêves indigo,,Blues,51,163,194,208,A3C2D0,,22,7,0,18,FVUP4008-5B,Lowe's,
NV343D,4008-5C,Summerhouse Blue,,Summerhouse Blue,Boucles d’oreille saphir,,Blues,33,122,160,178,7AA0B2,,31,10,0,30,FVUP4008-5C,Lowe's,
NV343E,4008-6A,Brookside,,Brookside,Tombée de la nuit,,Blues,22,93,134,153,5D8699,,39,12,0,40,FVUP4008-6A,Lowe's,
NV343F,4008-6B,Celebration Blue,,Celebration Blue,Gentillesse,,Blues,17,81,120,139,51788B,,42,14,0,45,FVUP4008-6B,Lowe's,
NV343G,4011-5,Newport Gray,,Newport Grey,Clin d’œil pervenche,,Blues,6,33,76,95,214C5F,,65,20,0,63,FVUP4011-5,Lowe's,
NV344A,8003-44A,Dreamstress,,Dreamstress,Bleu Bonnie,,Blues,76,214,228,234,D6E4EA,,9,3,0,8,FNVL3058_1,Lowe's,
NV344B,4005-5A,Blue Raindrop,,Blue Raindrop,Goutte de pluie bleue,,Blues,66,196,215,225,C4D7E1,,13,4,0,12,FVUP4005-5A,Lowe's,
NV344C,4005-5B,Sailboat,,Sailboat,Voilier,,Blues,53,170,197,212,AAC5D4,,20,7,0,17,FVUP4005-5B,Lowe's,
NV344D,4005-5C,Coventry Blue,,Coventry Blue,Bleu Coventry,,Blues,36,136,167,186,88A7BA,,27,10,0,27,FVUP4005-5C,Lowe's,
NV344E,4005-6A,Office Blue,,Office Blue,Bleu bureau,,Blues,29,119,151,172,7797AC,,31,12,0,33,FVUP4005-6A,Lowe's,
NV344F,8003-44F,Providence,,Providence,Providence,,Blues,17,90,117,137,5A7589,,34,15,0,46,FNVL3058_6,Lowe's,
NV344G,4005-6C,Mountain River,,Mountain River,Rivière de montagne,,Blues,9,63,87,106,3F576A,,41,18,0,58,FVUP4005-6C,Lowe's,
