Color Display Locator,Color Number,Color Name,CBG Legacy Color Name,Color Name (Canada - English),Color Name (Canada - French),Color Collection,CBG NA Color Family Name,LRV Notation Number,RGB-1 Red Color Value,RGB-2 Green Color Value,RGB-3 Blue Color Value,Hex Value,Color Sample sRGB,CMYK-1 Cyan Color Value,CMYK-2 Magenta Color Value,CMYK-3 Yellow Color Value,CMYK-4 Black Color Value,Freezer name,Channel,Color Description
NV211A,2001-2C,Apricot Ice,,Apricot Ice,Abricot givré,,Reds,80,250,226,216,FAE2D8,,0,10,14,2,FVUP2001-2C,Lowe's,
NV211B,2003-6C,Pale Satin Peach,,Pale Satin Peach,Pêche satinée pâle,,Reds,64,242,201,186,F2C9BA,,0,17,23,5,FVUP2003-6C,Lowe's,
NV211C,2003-6B,Sweet Marmalade,,Sweet Marmalade,Marmelade sucrée,,Reds,46,233,165,140,E9A58C,,0,29,40,9,FVUP2003-6B,Lowe's,
NV211D,2003-5C,Terra Earth,,Terra Earth,Terra terre,,Reds,31,207,134,111,CF866F,,0,35,46,19,FVUP2003-5C,Lowe's,
NV211E,2003-5B,Florentine Clay,,Florentine Clay,Argile florentine,,Reds,21,184,107,86,B86B56,,0,42,53,28,FVUP2003-5B,Lowe's,
NV211F,2003-5A,Tropical Nut,,Tropical Nut,Noix tropicale,,Reds,13,152,80,61,98503D,,0,47,60,40,FVUP2003-5A,Lowe's,
NV211G,2011-7,Russet Red,,Russet Red,Rouge roussâtre,,Reds,10,146,63,45,923F2D,,0,57,69,43,FVUP2011-7,Lowe's,
NV212A,8002-12A,Pink Soap,,Pink Soap,Savon rose,,Oranges,71,248,212,198,F8D4C6,,0,15,20,3,FNVL2016_1,Lowe's,
NV212B,8002-12B,Pretty in Peach,,Pretty in Peach,Pêche bonbon,,Oranges,56,236,187,168,ECBBA8,,0,21,29,7,FNVL2016_2,Lowe's,
NV212C,8002-12C,Venetian Plaster,,Venetian Plaster,Plâtre vénitien,,Oranges,42,222,158,133,DE9E85,,0,29,40,13,FNVL2016_3,Lowe's,
NV212D,8002-12D,Rosy Pashmina,,Rosy Pashmina,Pashmina rose,,Oranges,30,210,129,101,D28165,,0,39,52,18,FNVL2016_4,Lowe's,
NV212E,8002-12E,Autumn Ivy,,Autumn Ivy,Lierre d'automne,,Oranges,21,184,105,74,B8694A,,0,43,60,28,FNVL2016_5,Lowe's,
NV212F,8002-12F,Red Maple,,Red Maple,Érable rouge,,Oranges,11,144,73,41,904929,,0,49,72,44,FNVL2016_6,Lowe's,
NV212G,8002-12G,Smoked Paprika,,Smoked Paprika,Paprika fumé,,Oranges,8,127,61,41,7F3D29,,0,52,68,50,FNVL2016_7,Lowe's,
NV213A,2004-6C,Cape Sands,,Cape Sands,Sables du cap,,Oranges,74,248,218,198,F8DAC6,,0,12,20,3,FVUP2004-6C,Lowe's,
NV213B,2004-6B,Special Peach,,Special Peach,Pêche spécial,,Oranges,62,238,198,172,EEC6AC,,0,17,28,7,FVUP2004-6B,Lowe's,
NV213C,2004-6A,Sandbar,,Sandbar,Banc sablonneux,,Oranges,48,230,172,137,E6AC89,,0,25,40,10,FVUP2004-6A,Lowe's,
